Target,Model,seed,MAE,RMSE,MAPE,R2
M_LB,xgb,1,0.08154961894266918,0.12176823342182598,0.671791084074055,0.9998997651550822
M_LB,xgb,2,0.07607883517051799,0.10950729758496709,0.6634857616808566,0.9999189343563955
M_LB,xgb,3,0.05993894152084873,0.08695583405676247,0.5038947798762047,0.9999488850239064
M_LB,xgb,4,0.07180392967643216,0.1040591291466397,0.6113973322450145,0.9999267999991799
M_LB,xgb,5,0.07654715706307083,0.10571734407064072,0.6575776920805587,0.9999244484811604
M_LB,xgb,6,0.07773126497441138,0.12219452195160348,0.6282536936759034,0.999899062118557
M_LB,xgb,7,0.057234769817385525,0.08748561801125479,0.46429692426103825,0.9999482602840611
M_LB,xgb,8,0.06447063635067422,0.09547244038778069,0.5651616882411736,0.9999383821189586
M_LB,xgb,9,0.06668230892041704,0.09638013870551772,0.5557346690824341,0.999937204892853
M_LB,xgb,10,0.07090841023238804,0.10246425210217985,0.5749347356053872,0.9999290266245127
M_LB,xgb,11,0.06691159126277098,0.09540176641472924,0.5548258663892792,0.9999384733111104
M_LB,xgb,12,0.0592042701511905,0.08831217860990391,0.4821237404147637,0.9999472779960616
M_LB,xgb,13,0.06010248306320154,0.08907761891399517,0.4844967885296348,0.9999463601059821
M_LB,xgb,14,0.06189401904873549,0.09078719123692819,0.5367481524216604,0.999944281441508
M_LB,xgb,15,0.06738328116671703,0.0988332838976653,0.6254243605852627,0.9999339675876827
M_LB,xgb,16,0.06375268539830962,0.09259810100171136,0.51802043092956,0.9999420364638458
M_LB,xgb,17,0.08835003073449825,0.13192581533800274,0.7946045671825194,0.9998823450277657
M_LB,xgb,18,0.0798830760366224,0.11517861119171048,0.727523612999447,0.9999103202503999
M_LB,xgb,19,0.08125828795874838,0.11720719820780404,0.6983924291564106,0.9999071334566428
M_LB,xgb,20,0.06110569868163911,0.08801529847091955,0.5075588240738194,0.999947631872665
M_LB,xgb,21,0.0899171948759344,0.13044617179914472,0.7723618856763093,0.9998849693990582
M_LB,xgb,22,0.06228860668981496,0.08808759770438271,0.5236061802226314,0.9999475458028433
M_LB,xgb,23,0.05906581866986701,0.08464003539360862,0.48040851090764525,0.9999515713475858
M_LB,xgb,24,0.09340539001544791,0.1343644185913852,0.8769574810416817,0.9998779552038531
M_LB,xgb,25,0.058842587586996814,0.08746637297314074,0.4873396849157709,0.9999482830449059
M_LB,xgb,26,0.07071802659111345,0.10222035741789626,0.5648588953551539,0.9999293640968936
M_LB,xgb,27,0.060384317790681735,0.08631543885202365,0.49202702298080997,0.9999496351345866
M_LB,xgb,28,0.07285485570888031,0.10549453414782586,0.6854791264652441,0.9999247666103934
M_LB,xgb,29,0.057738448614374265,0.08136534020698066,0.496697584473476,0.9999552462325172
M_LB,xgb,30,0.06955818969632811,0.1045187863995238,0.5808281148988998,0.9999261518825695
M_LB,gpr,1,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,2,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,3,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,4,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,5,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,6,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,7,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,8,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,9,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,10,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,11,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,12,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,13,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,14,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,15,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,16,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,17,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,18,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,19,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,20,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,21,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,22,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,23,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,24,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,25,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,26,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,27,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,28,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,29,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,gpr,30,0.08270407769894157,0.11297442669241321,0.7806973312903632,0.9999137198276291
M_LB,lgbm,1,0.10155947457318495,0.12820168440475246,0.9488697181816337,0.9998888938306724
