Target,Model,seed,MAE,RMSE,R2
M_LB,XGBoost,1,0.07443814271102733,0.11041270261502965,0.9999175883152298
M_LB,XGBoost,2,0.07442912346037057,0.10570692538833555,0.9999244633719712
M_LB,XGBoost,3,0.06307885557715531,0.08846588215368405,0.9999470943156018
M_LB,XGBoost,4,0.07323980361509239,0.10686972197998171,0.9999227923967288
M_LB,XGBoost,5,0.07257665638802342,0.10253654054293325,0.9999289264458777
M_LB,XGBoost,6,0.0761169329666887,0.11313011680294678,0.999913481858277
M_LB,XGBoost,7,0.061365812809731676,0.09210471342971265,0.999942652508837
M_LB,XGBoost,8,0.06475520740008457,0.09558396486309051,0.9999382380791608
M_LB,XGBoost,9,0.06650738644406236,0.0952509610060252,0.999938667672794
M_LB,XGBoost,10,0.06727582453171845,0.09681083588316312,0.999936642409633
M_LB,XGBoost,11,0.06605366830903286,0.09425774927937634,0.9999399400671276
M_LB,XGBoost,12,0.06043725364701902,0.08914025534255728,0.9999462846438698
M_LB,XGBoost,13,0.060260693466743474,0.08811827923918447,0.9999475092561422
M_LB,XGBoost,14,0.06572777286786509,0.09451983731781861,0.9999396056039266
M_LB,XGBoost,15,0.06665182878335159,0.09978836782299935,0.9999326852014804
M_LB,XGBoost,16,0.06174126176449116,0.08937872138616836,0.9999459968631814
M_LB,XGBoost,17,0.08182642607454688,0.11870651990274174,0.9999047423511759
M_LB,XGBoost,18,0.06975455508351985,0.09529761281036948,0.9999386075796591
M_LB,XGBoost,19,0.07423680264176136,0.10569600007419974,0.9999244789853047
M_LB,XGBoost,20,0.05712243910468427,0.0823319461294416,0.999954176582645
M_LB,XGBoost,21,0.08708439954643715,0.12315159930708529,0.9998974747530124
M_LB,XGBoost,22,0.06227077965296933,0.08674890716112701,0.9999491280088294
M_LB,XGBoost,23,0.06327674084661356,0.08805983107030994,0.9999475788664524
M_LB,XGBoost,24,0.07744759736127738,0.11358222558548166,0.999912788961056
M_LB,XGBoost,25,0.060451012451164715,0.08674629410947757,0.9999491310735168
M_LB,XGBoost,26,0.07005394847634623,0.10028923169282143,0.9999320077645246
M_LB,XGBoost,27,0.06533157722879464,0.093577864660678,0.9999408033713532
M_LB,XGBoost,28,0.0704895968605394,0.0974257370198449,0.9999358350128503
M_LB,XGBoost,29,0.06112098679501714,0.0858687134430039,0.9999501551120772
M_LB,XGBoost,30,0.0703916645620761,0.10399016540116396,0.9999268969916009
M_DB,XGBoost,1,0.11554419441374975,0.28188252559991595,0.9991928167321186
M_DB,XGBoost,2,0.10009856384667562,0.2566309638064663,0.9993309571207507
M_DB,XGBoost,3,0.10620388105322566,0.274593181983675,0.9992340236826515
M_DB,XGBoost,4,0.10374456849347453,0.2579765636245153,0.9993239227071945
M_DB,XGBoost,5,0.10644794896635078,0.2574120407046682,0.9993268783519463
M_DB,XGBoost,6,0.10538418755766499,0.2614362921797397,0.9993056673404016
M_DB,XGBoost,7,0.09568845393683931,0.26312363529023164,0.9992966757947008
M_DB,XGBoost,8,0.10446715834198776,0.2681655161266409,0.9992694638632794
M_DB,XGBoost,9,0.11149933962994885,0.27887497039541975,0.9992099493819372
M_DB,XGBoost,10,0.10574910883357759,0.2656315261263255,0.9992832048178116
M_DB,XGBoost,11,0.11291207762662078,0.26785315515129327,0.9992711647388006
M_DB,XGBoost,12,0.10199296464702041,0.2671758683356122,0.9992748459082237
M_DB,XGBoost,13,0.10418111403478027,0.2736416204174777,0.9992393232368336
M_DB,XGBoost,14,0.10173883938656329,0.26301648951115825,0.9992972484751188
M_DB,XGBoost,15,0.1011927847773411,0.2595968000408578,0.9993154037556173
M_DB,XGBoost,16,0.10352998629709284,0.27708903065234225,0.9992200360868653
M_DB,XGBoost,17,0.10103964034674721,0.24786872883825972,0.9993758638726602
M_DB,XGBoost,18,0.10150828845850317,0.2492546905766103,0.9993688646258665
M_DB,XGBoost,19,0.10870387585540571,0.26449402717625237,0.9992893306569183
M_DB,XGBoost,20,0.10319069089688612,0.2759687633949028,0.9992263301051854
M_DB,XGBoost,21,0.1157359483517281,0.26187874597840827,0.9993033151797216
M_DB,XGBoost,22,0.10411928328854789,0.27829805895051807,0.9992132147721231
M_DB,XGBoost,23,0.10566899398308575,0.2706000949183885,0.9992561390987055
M_DB,XGBoost,24,0.10372414864747387,0.2531980726404116,0.9993487366576266
M_DB,XGBoost,25,0.10116144730020196,0.27530993166253653,0.9992300197245102
M_DB,XGBoost,26,0.10830552831070717,0.2832411952516413,0.9991850167563306
M_DB,XGBoost,27,0.10663065956162736,0.2612711862656957,0.9993065440528766
M_DB,XGBoost,28,0.1100625732723289,0.2707589833856183,0.9992552652954823
M_DB,XGBoost,29,0.10737718373453241,0.27428775276890544,0.999235726721537
M_DB,XGBoost,30,0.10622967560196393,0.26066624976047387,0.9993097515338114
