Target,Model,MAE_OOD,MAE_ID,Inflation_MAE
M_DB,rf,0.3627960779667302,0.8085472078695858,0.44870116974697066
M_DB,histgbr,0.26402775417697616,0.3610287173287091,0.7313206443258762
M_DB,adaboost,1.3893214079332779,1.5387989294012325,0.9028609140466984
M_DB,gbrt,0.22216293150495994,0.24241486791454273,0.9164575317355448
M_DB,knn,1.9796337505401769,2.106026635475885,0.9399851441541013
M_DB,dt,0.1921483646666669,0.20056717673563235,0.9580249759407927
M_DB,ridge,2.2344464708896785,2.247420954641308,0.9942269454572651
M_DB,elasticnet,2.236175380676348,2.245959610473435,0.9956436305659903
M_DB,lasso,2.2362966701348856,2.2454057623601282,0.9959432311175384
M_DB,lgbm,0.21586852194958558,0.16920774923935472,1.2757602587351147
M_DB,catboost,0.19210445793886,0.1351066826007638,1.4218723622022673
M_DB,xgb,0.19201288020160426,0.10683669524263534,1.7972558938249303
M_DB,gpr,6.462782120308987,0.20008025630408502,32.30094882768819
M_DB,svr,7.513375371110652,0.15425283661544234,48.70818285074236
M_LB,rf,0.4533909902541952,1.0105321763721054,0.4486655653874443
M_LB,catboost,0.16315638361527343,0.20291469051438338,0.8040639305201428
M_LB,histgbr,0.28332517306629385,0.342212821686403,0.8279209752284716
M_LB,adaboost,1.8765993734732946,2.0928950531767043,0.8966524005228523
M_LB,knn,2.4577632208306532,2.6681983981042965,0.9211321101822288
M_LB,ridge,2.7140486341252874,2.7743286499997777,0.9782722151989833
M_LB,elasticnet,2.717200429042707,2.773284702875365,0.979776950496821
M_LB,lasso,2.717548932779502,2.772886563788586,0.9800433123620188
M_LB,gbrt,0.1882198902536448,0.17789938488199877,1.0580131593962039
M_LB,dt,0.16317294870370352,0.11731928294252876,1.3908450905179597
M_LB,lgbm,0.1821072126366283,0.09453001854532392,1.9264485021688016
M_LB,xgb,0.16314983110308479,0.06210434095649803,2.6270278146477017
M_LB,svr,9.035438777194768,0.15517356766902057,58.22795024257625
M_LB,gpr,8.898331461800565,0.08270407769894157,107.59241514296511
