Target,Model,MAE_mean,MAE_std,MAE_median,MAE_p25,MAE_p75,MAE_iqr,MAE_min,MAE_max,RMSE_mean,RMSE_std,RMSE_median,RMSE_p25,RMSE_p75,RMSE_iqr,RMSE_min,RMSE_max,MAPE_mean,MAPE_std,MAPE_median,MAPE_p25,MAPE_p75,MAPE_iqr,MAPE_min,MAPE_max,R2_mean,R2_std,R2_median,R2_p25,R2_p75,R2_iqr,R2_min,R2_max,n_seeds
M_DB,xgb,0.10512382631427522,0.0054253336621588434,0.10505996633059306,0.10157589767728487,0.10730136022798337,0.005725462550698501,0.09580397633501865,0.119644745083635,0.2657929113537081,0.013176603625193259,0.26732220343590174,0.2590913652797762,0.27246262315953207,0.013371257879755849,0.23324243516057713,0.29004412878949737,0.7485568405864136,0.05803599018888527,0.7414657401661127,0.7132851258516621,0.7935683731356161,0.08028324728395397,0.6188980555405637,0.8626675273730802,0.999280628590095,7.002999456583883e-05,0.9992740495533274,0.9992458639043671,0.9993180319634506,7.216805908349944e-05,0.9991453978123988,0.9994473489788599,30.0
M_DB,catboost,0.1351066826007638,0.0,0.1351066826007638,0.1351066826007638,0.1351066826007638,0.0,0.1351066826007638,0.1351066826007638,0.24530628441373975,5.646012854083702e-17,0.2453062844137397,0.2453062844137397,0.2453062844137397,0.0,0.2453062844137397,0.2453062844137397,1.6147064833374971,6.775215424900442e-16,1.6147064833374964,1.6147064833374964,1.6147064833374964,0.0,1.6147064833374964,1.6147064833374964,0.9993887016950421,1.1292025708167404e-16,0.999388701695042,0.999388701695042,0.999388701695042,0.0,0.999388701695042,0.999388701695042,30.0
M_DB,svr,0.15425283661544234,0.0,0.15425283661544234,0.15425283661544234,0.15425283661544234,0.0,0.15425283661544234,0.15425283661544234,0.29685135006158414,5.646012854083702e-17,0.2968513500615842,0.2968513500615842,0.2968513500615842,0.0,0.2968513500615842,0.2968513500615842,1.5758297236998837,4.516810283266961e-16,1.5758297236998842,1.5758297236998842,1.5758297236998842,0.0,1.5758297236998842,1.5758297236998842,0.9991048127260306,2.2584051416334807e-16,0.9991048127260304,0.9991048127260304,0.9991048127260304,0.0,0.9991048127260304,0.9991048127260304,30.0
M_DB,lgbm,0.17553912050390302,0.00671122357983176,0.17435803697099872,0.17213060145704945,0.1802091263507517,0.008078524893702255,0.16261993766356803,0.18967813661273875,0.3115886889198453,0.007141490625734958,0.31163086149103436,0.3067870552212295,0.3152129791598592,0.008425923938629676,0.2942955874528179,0.32728109173957215,1.370134814173521,0.1037937318392397,1.3611637400671004,1.29451937044319,1.4198380987538468,0.1253187283106567,1.1943748162892807,1.583659503743104,0.9990132214774675,4.5305552577176786e-05,0.999013455293658,0.9989906435754464,0.9990438854685901,5.324189314370731e-05,0.9989118777942829,0.999120160726325,30.0
M_DB,gpr,0.20008025630408507,5.646012854083702e-17,0.20008025630408502,0.20008025630408502,0.20008025630408502,0.0,0.20008025630408502,0.20008025630408502,0.3522100856566752,1.6938038562251105e-16,0.35221008565667505,0.35221008565667505,0.35221008565667505,0.0,0.35221008565667505,0.35221008565667505,1.889462684656569,6.775215424900442e-16,1.8894626846565683,1.8894626846565683,1.8894626846565683,0.0,1.8894626846565683,1.8894626846565683,0.9987398001640311,1.1292025708167404e-16,0.998739800164031,0.998739800164031,0.998739800164031,0.0,0.998739800164031,0.998739800164031,30.0
M_DB,dt,0.20286976448735658,0.003536479647996538,0.20202503954023004,0.200389243126437,0.2062702720919543,0.005881028965517315,0.19633623347126442,0.20728863310344856,0.3747539963958192,0.001403607084703843,0.3743158384579777,0.3738797142525832,0.37615126282181627,0.0022715485692330617,0.3722273422348743,0.37639275529980315,1.713380520091487,0.022422123165189434,1.711876994444847,1.6952956963600783,1.728798615193811,0.0335029188337328,1.6715497165496358,1.7481686917858217,0.9985732946895687,1.0681483747374069e-05,0.9985766481804623,0.9985626554206027,0.9985799630437406,1.7307623137896577e-05,0.9985608092663417,0.9985924870945829,30.0
M_DB,gbrt,0.2424148679145429,2.873833483789833e-16,0.24241486791454292,0.2424148679145427,0.24241486791454306,3.608224830031759e-16,0.24241486791454234,0.24241486791454356,0.35024069879203135,2.3279107360982133e-16,0.35024069879203135,0.3502406987920312,0.35024069879203146,2.7755575615628914e-16,0.3502406987920307,0.35024069879203173,2.3607698804011545,5.118165928667573e-15,2.360769880401155,2.3607698804011505,2.3607698804011585,7.993605777301127e-15,2.3607698804011443,2.360769880401164,0.9987538536084881,1.1292025708167404e-16,0.9987538536084882,0.9987538536084882,0.9987538536084882,0.0,0.9987538536084882,0.9987538536084882,30.0
M_DB,histgbr,0.3610287173287092,1.1292025708167404e-16,0.3610287173287091,0.3610287173287091,0.3610287173287091,0.0,0.3610287173287091,0.3610287173287091,0.49864445575099,5.646012854083702e-17,0.49864445575099003,0.49864445575099003,0.49864445575099003,0.0,0.49864445575099003,0.49864445575099003,3.2561886696104696,9.033620566533923e-16,3.2561886696104705,3.2561886696104705,3.2561886696104705,0.0,3.2561886696104705,3.2561886696104705,0.9974740902338265,1.1292025708167404e-16,0.9974740902338266,0.9974740902338266,0.9974740902338266,0.0,0.9974740902338266,0.9974740902338266,30.0
M_DB,rf,0.7978785100783873,0.024417570149218252,0.7941324111339507,0.7797755180568151,0.8076608605872473,0.027885342530432178,0.7621419890714225,0.8624022598525722,1.017986749743583,0.031568048663775175,1.0107882185237318,1.0000270827226636,1.0370597447517582,0.03703266202909461,0.9670397350364981,1.1146870398732753,7.427187864655105,0.260124392423208,7.3685123839306605,7.2759859296391864,7.607025629038925,0.33103969939973865,6.903409137066767,7.915326401048812,0.9894628389407761,0.00066301235680032,0.9896209764196009,0.9890744402153997,0.9898408033136159,0.0007663630982162051,0.9873776055928666,0.9904999808344345,30.0
M_DB,adaboost,1.5227672355092001,0.045983810816131655,1.5144979305272637,1.4973075830588853,1.5464746800782045,0.049167097019319206,1.4515738231716793,1.6499689508867912,1.8267015195351204,0.0796398911374156,1.8095855144134227,1.7698012521273334,1.8648261673078976,0.09502491518056422,1.724822277521689,2.098046973916596,16.138837908780093,0.6202937850644061,16.02312266473134,15.763557310080083,16.484322316252154,0.720765006172071,14.591530721885224,17.54903111956004,0.9660399546269076,0.0030516596147201268,0.9667343430376582,0.9646720649001648,0.9681810238042525,0.0035089589040877556,0.9552836591533863,0.9697779062509329,30.0
