MAE,RMSE,MAPE,R2,Scenario,Model,Target,n_test
2.1064575601666142,2.1874805160133595,25.111726191761928,0.8890282362814831,OOD-Geometry,gpr,M_DB,144
3.8255284734853756,3.9350028657449547,52.80830292386285,0.6409009901824436,OOD-Geometry,svr,M_DB,144
4.108343464861111,4.615694586926587,51.294384347294674,0.5059189119533991,OOD-Geometry,elasticnet,M_DB,144
4.108343464861112,4.615756921978824,51.27605032843545,0.5059055667123653,OOD-Geometry,lasso,M_DB,144
4.108343464861112,4.6150240732278975,51.42111357717069,0.5060624500791318,OOD-Geometry,ridge,M_DB,144
5.514672365623499,6.199109904320015,85.9712973813009,0.10878441257401195,OOD-Geometry,catboost,M_DB,144
5.939263294065987,6.976499891433466,92.58514700999032,-0.128753955591691,OOD-Geometry,knn,M_DB,144
6.377223242943143,7.227178896354652,96.24625047575495,-0.2113278763217723,OOD-Geometry,rf,M_DB,144
8.065030483409869,9.321349336997816,117.26159105359173,-1.015030714676627,OOD-Geometry,adaboost,M_DB,144
9.176598719101593,9.861263178610248,128.9824585916384,-1.2552214863136815,OOD-Geometry,xgb,M_DB,144
9.514785430087292,9.890146333943237,120.95964054578216,-1.2684516991557082,OOD-Geometry,gbrt,M_DB,144
11.812873724739742,12.186096770926252,143.01456229747885,-2.4439223176755194,OOD-Geometry,lgbm,M_DB,144
11.886406822731269,12.261860253726937,144.32732177946124,-2.486878591866491,OOD-Geometry,histgbr,M_DB,144
12.354313275611112,12.765339371222831,149.6500947062894,-2.779103897570545,OOD-Geometry,dt,M_DB,144
1.3002378403268893,1.4030412823454683,22.16154894683041,0.9497810795394841,OOD-Material,gpr,M_DB,144
3.073640137703614,3.9518334251922655,51.80516050632744,0.6015959599905274,OOD-Material,ridge,M_DB,144
3.0836492976434284,3.96308162463271,52.06960367610031,0.5993247581084882,OOD-Material,elasticnet,M_DB,144
3.0851027417539467,3.9647294799220325,52.09503916415634,0.59899148610116,OOD-Material,lasso,M_DB,144
4.274699754166666,5.193735802354538,37.954843038200636,0.3118451403718584,OOD-Material,dt,M_DB,144
4.274711417081392,5.193772985256643,37.955043830181395,0.3118352870842266,OOD-Material,xgb,M_DB,144
4.274717065711154,5.193744432951202,37.95520809264049,0.31184285331214023,OOD-Material,catboost,M_DB,144
