MAE,RMSE,R2,Scenario,Model,Target,n_test
14.008433701049228,14.546018266319548,-2.384486797605292,OOD-Geometry,XGBoost,M_LB,144
0.16312438102355542,0.21077519881491952,0.9996448369938778,OOD-Perforation,XGBoost,M_LB,216
5.868267443177585,7.092604213989717,0.022727496864127672,OOD-Material,XGBoost,M_LB,144
9.418720786447105,10.048906311301621,-1.34186413764734,OOD-Geometry,XGBoost,M_DB,144
0.1920093193759738,0.2748564709330012,0.9991073602527576,OOD-Perforation,XGBoost,M_DB,216
4.274720125982267,5.193769707678196,0.31183615562935807,OOD-Material,XGBoost,M_DB,144
