Target,Model,Scenario,MAE_OOD,MAE_ID,Inflation_MAE
M_DB,xgb,OOD-Geometry,9.176598719101593,0.10683669524263534,85.8936969012449
M_DB,lgbm,OOD-Geometry,11.812873724739742,0.16920774923935472,69.81284118394429
M_DB,dt,OOD-Geometry,12.354313275611112,0.20056717673563235,61.596884777888334
M_DB,catboost,OOD-Geometry,5.514672365623499,0.1351066826007638,40.817169509810185
M_DB,gbrt,OOD-Geometry,9.514785430087292,0.24241486791454273,39.25000769111856
M_DB,histgbr,OOD-Geometry,11.886406822731269,0.3610287173287091,32.92371562761015
M_DB,svr,OOD-Geometry,3.8255284734853756,0.15425283661544234,24.800376819147584
M_DB,gpr,OOD-Geometry,2.1064575601666142,0.20008025630408502,10.528063083671723
M_DB,rf,OOD-Geometry,6.377223242943143,0.8085472078695858,7.887261474498535
M_DB,adaboost,OOD-Geometry,8.065030483409869,1.5387989294012325,5.241120414964209
M_DB,knn,OOD-Geometry,5.939263294065987,2.106026635475885,2.820127340281207
M_DB,lasso,OOD-Geometry,4.108343464861112,2.2454057623601282,1.8296663942568958
M_DB,elasticnet,OOD-Geometry,4.108343464861111,2.245959610473435,1.8292152030263342
M_DB,ridge,OOD-Geometry,4.108343464861112,2.247420954641308,1.8280257894617744
M_DB,svr,OOD-Material,6.425129547288889,0.15425283661544234,41.653234314951106
M_DB,xgb,OOD-Material,4.274711417081392,0.10683669524263534,40.01164026436005
M_DB,catboost,OOD-Material,4.274717065711154,0.1351066826007638,31.639567957884175
M_DB,lgbm,OOD-Material,4.275522671571317,0.16920774923935472,25.267889270977353
M_DB,dt,OOD-Material,4.274699754166666,0.20056717673563235,21.313057419166594
M_DB,gbrt,OOD-Material,4.288157406987927,0.24241486791454273,17.689333347736778
M_DB,histgbr,OOD-Material,4.276866332139348,0.3610287173287091,11.846332789769049
M_DB,gpr,OOD-Material,1.3002378403268893,0.20008025630408502,6.498581440993198
M_DB,rf,OOD-Material,4.382119655544706,0.8085472078695858,5.419744960954114
M_DB,adaboost,OOD-Material,4.7706960710399295,1.5387989294012325,3.100272543662525
M_DB,knn,OOD-Material,4.294010466755279,2.106026635475885,2.038915555208536
M_DB,lasso,OOD-Material,3.0851027417539467,2.2454057623601282,1.3739622448065776
M_DB,elasticnet,OOD-Material,3.0836492976434284,2.245959610473435,1.3729762918547825
M_DB,ridge,OOD-Material,3.073640137703614,2.247420954641308,1.367629918799156
M_DB,svr,OOD-Perforation,7.513375371110652,0.15425283661544234,48.70818285074236
M_DB,gpr,OOD-Perforation,6.462782120308987,0.20008025630408502,32.30094882768819
M_DB,xgb,OOD-Perforation,0.19201288020160426,0.10683669524263534,1.7972558938249303
M_DB,catboost,OOD-Perforation,0.19210445793886,0.1351066826007638,1.4218723622022673
M_DB,lgbm,OOD-Perforation,0.21586852194958558,0.16920774923935472,1.2757602587351147
M_DB,lasso,OOD-Perforation,2.2362966701348856,2.2454057623601282,0.9959432311175384
M_DB,elasticnet,OOD-Perforation,2.236175380676348,2.245959610473435,0.9956436305659903
M_DB,ridge,OOD-Perforation,2.2344464708896785,2.247420954641308,0.9942269454572651
M_DB,dt,OOD-Perforation,0.1921483646666669,0.20056717673563235,0.9580249759407927
M_DB,knn,OOD-Perforation,1.9796337505401769,2.106026635475885,0.9399851441541013
M_DB,gbrt,OOD-Perforation,0.22216293150495994,0.24241486791454273,0.9164575317355448
M_DB,adaboost,OOD-Perforation,1.3893214079332779,1.5387989294012325,0.9028609140466984
M_DB,histgbr,OOD-Perforation,0.26402775417697616,0.3610287173287091,0.7313206443258762
M_DB,rf,OOD-Perforation,0.3627960779667302,0.8085472078695858,0.44870116974697066
M_LB,xgb,OOD-Geometry,13.670148453564387,0.06210434095649803,220.1158283466829
M_LB,lgbm,OOD-Geometry,14.245624894919754,0.09453001854532392,150.69948270548008
M_LB,dt,OOD-Geometry,14.717973112500001,0.11731928294252876,125.45229346236202
M_LB,gbrt,OOD-Geometry,10.314143263078641,0.17789938488199877,57.97739699842158
M_LB,histgbr,OOD-Geometry,14.085208277572193,0.342212821686403,41.15920674205363
M_LB,catboost,OOD-Geometry,6.722229019289097,0.20291469051438338,33.12835064946961
M_LB,gpr,OOD-Geometry,2.593489947434732,0.08270407769894157,31.358670812768434
M_LB,svr,OOD-Geometry,4.42476068706784,0.15517356766902057,28.51491238833723
M_LB,rf,OOD-Geometry,7.810944410180203,1.0105321763721054,7.729535578196177
M_LB,adaboost,OOD-Geometry,14.160119677604872,2.0928950531767043,6.765804934228265
M_LB,knn,OOD-Geometry,6.7443830921341466,2.6681983981042965,2.527691755203024
M_LB,lasso,OOD-Geometry,4.908468021022782,2.772886563788586,1.77016546047104
M_LB,elasticnet,OOD-Geometry,4.9084102480727365,2.773284702875365,1.7698904995162075
M_LB,ridge,OOD-Geometry,4.9077927062765205,2.7743286499997777,1.769001919176704
M_LB,xgb,OOD-Material,5.868238710427434,0.06210434095649803,94.48999248760944
M_LB,lgbm,OOD-Material,5.868520585212445,0.09453001854532392,62.081026487884266
M_LB,svr,OOD-Material,8.179425932893407,0.15517356766902057,52.71146404482893
M_LB,dt,OOD-Material,5.86828079,0.11731928294252876,50.01974647999423
M_LB,gbrt,OOD-Material,5.878339165621373,0.17789938488199877,33.04305503653368
M_LB,catboost,OOD-Material,5.8682885389781285,0.20291469051438338,28.919978756107664
M_LB,gpr,OOD-Material,2.1231333491997755,0.08270407769894157,25.671447022580686
M_LB,histgbr,OOD-Material,5.873484561430982,0.342212821686403,17.163251021650282
M_LB,rf,OOD-Material,6.004147976860182,1.0105321763721054,5.941570310423536
M_LB,adaboost,OOD-Material,6.610928701299555,2.0928950531767043,3.1587483047777027
M_LB,knn,OOD-Material,5.87186200567604,2.6681983981042965,2.200684180699563
M_LB,lasso,OOD-Material,4.077095286679513,2.772886563788586,1.4703433382103417
M_LB,elasticnet,OOD-Material,4.075008096773652,2.773284702875365,1.469379646651009
M_LB,ridge,OOD-Material,4.062828088899623,2.7743286499997777,1.4644364822819202
M_LB,gpr,OOD-Perforation,8.898331461800565,0.08270407769894157,107.59241514296511
M_LB,svr,OOD-Perforation,9.035438777194768,0.15517356766902057,58.22795024257625
M_LB,xgb,OOD-Perforation,0.16314983110308479,0.06210434095649803,2.6270278146477017
M_LB,lgbm,OOD-Perforation,0.1821072126366283,0.09453001854532392,1.9264485021688016
M_LB,dt,OOD-Perforation,0.16317294870370352,0.11731928294252876,1.3908450905179597
M_LB,gbrt,OOD-Perforation,0.1882198902536448,0.17789938488199877,1.0580131593962039
M_LB,lasso,OOD-Perforation,2.717548932779502,2.772886563788586,0.9800433123620188
M_LB,elasticnet,OOD-Perforation,2.717200429042707,2.773284702875365,0.979776950496821
M_LB,ridge,OOD-Perforation,2.7140486341252874,2.7743286499997777,0.9782722151989833
M_LB,knn,OOD-Perforation,2.4577632208306532,2.6681983981042965,0.9211321101822288
M_LB,adaboost,OOD-Perforation,1.8765993734732946,2.0928950531767043,0.8966524005228523
M_LB,histgbr,OOD-Perforation,0.28332517306629385,0.342212821686403,0.8279209752284716
M_LB,catboost,OOD-Perforation,0.16315638361527343,0.20291469051438338,0.8040639305201428
M_LB,rf,OOD-Perforation,0.4533909902541952,1.0105321763721054,0.4486655653874443
