Target,Model,alpha,coverage,avg_interval_width,q_residual,n_test
M_LB,XGBoost,0.1,0.8735632183908046,0.3621958792209625,0.18109784171875276,87
M_DB,XGBoost,0.1,0.8735632183908046,0.4636504054069519,0.23182518513671369,87
