feature,importance,std
t,0.9089440623199921,0.1399114949650474
D,0.32205082070239077,0.03834115445560766
Fy,0.19093037406734611,0.0441741378588321
r,0.025547576190887673,0.004022122480587953
Bf,0.0034870790531349727,0.0004783718833975392
n,0.002577424763260311,0.0008102176576027685
N,0.0011121812482004778,0.0002054746901447827
Lsl,0.0001558099586276396,5.187948666655555e-05
Wsl,0.00013945792622148677,9.026956670327732e-05
Bl,0.0,0.0
Ssl,0.0,0.0
Bsl,0.0,0.0
