Target,Model,alpha,calib_size,coverage,avg_interval_width,q_residual,n_test
M_DB,dt,0.1,0.25,0.9195402298850575,1.011068960000011,0.505534480000005,87
M_DB,histgbr,0.1,0.25,0.9195402298850575,1.696652438287445,0.848326219143722,87
M_DB,rf,0.1,0.25,0.9195402298850575,3.6275814757864477,1.8137907378932248,87
M_DB,lgbm,0.1,0.25,0.9080459770114943,1.3357963916452826,0.6678981958226409,87
M_DB,lasso,0.1,0.25,0.9080459770114943,10.296394372010376,5.148197186005188,87
M_DB,adaboost,0.1,0.25,0.8850574712643678,7.93693957176471,3.9684697858823554,87
M_DB,knn,0.1,0.25,0.8735632183908046,8.293315896441076,4.146657948220539,87
M_DB,xgb,0.1,0.25,0.8620689655172413,0.35295355319976807,0.17647675627880854,87
M_DB,svr,0.1,0.25,0.8390804597701149,0.793583279037378,0.396791639518689,87
M_DB,gbrt,0.1,0.25,0.8390804597701149,0.957777773575657,0.4788888867878285,87
M_DB,catboost,0.1,0.25,0.8275862068965517,0.8894585821949477,0.44472929109747383,87
M_DB,gpr,0.1,0.25,0.8275862068965517,0.7882781674966811,0.3941390837483403,87
M_LB,lgbm,0.1,0.25,0.9425287356321839,0.9080064061422917,0.45400320307114583,87
M_LB,gpr,0.1,0.25,0.9310344827586207,0.47218995254770846,0.23609497627385423,87
M_LB,adaboost,0.1,0.25,0.9310344827586207,7.260014564102562,3.630007282051281,87
M_LB,histgbr,0.1,0.25,0.9195402298850575,1.5921011267216727,0.7960505633608363,87
M_LB,lasso,0.1,0.25,0.9080459770114943,12.654621945818905,6.327310972909451,87
M_LB,rf,0.1,0.25,0.896551724137931,5.184831918532924,2.592415959266461,87
M_LB,dt,0.1,0.25,0.8850574712643678,0.8493156800000037,0.42465784000000184,87
M_LB,xgb,0.1,0.25,0.8505747126436781,0.3346754014492035,0.16733762873046842,87
M_LB,gbrt,0.1,0.25,0.8505747126436781,0.7999603334622662,0.3999801667311331,87
M_LB,svr,0.1,0.25,0.8390804597701149,0.842320825520195,0.42116041276009764,87
M_LB,knn,0.1,0.25,0.8390804597701149,9.535190161012018,4.767595080506009,87
M_LB,catboost,0.1,0.25,0.8160919540229885,0.919597495820167,0.4597987479100829,87
