Target,Model,OOD-Geometry,OOD-Material,OOD-Perforation
M_DB,adaboost,5.241120414964209,3.100272543662525,0.9028609140466984
M_DB,catboost,40.817169509810185,31.639567957884175,1.4218723622022673
M_DB,dt,61.596884777888334,21.313057419166594,0.9580249759407927
M_DB,elasticnet,1.8292152030263342,1.3729762918547825,0.9956436305659903
M_DB,gbrt,39.25000769111856,17.689333347736778,0.9164575317355448
M_DB,gpr,10.528063083671723,6.498581440993198,32.30094882768819
M_DB,histgbr,32.92371562761015,11.846332789769049,0.7313206443258762
M_DB,knn,2.820127340281207,2.038915555208536,0.9399851441541013
M_DB,lasso,1.8296663942568958,1.3739622448065776,0.9959432311175384
M_DB,lgbm,69.81284118394429,25.267889270977353,1.2757602587351147
M_DB,rf,7.887261474498535,5.419744960954114,0.44870116974697066
M_DB,ridge,1.8280257894617744,1.367629918799156,0.9942269454572651
M_DB,svr,24.800376819147584,41.653234314951106,48.70818285074236
M_DB,xgb,85.8936969012449,40.01164026436005,1.7972558938249303
M_LB,adaboost,6.765804934228265,3.1587483047777027,0.8966524005228523
M_LB,catboost,33.12835064946961,28.919978756107664,0.8040639305201428
M_LB,dt,125.45229346236202,50.01974647999423,1.3908450905179597
M_LB,elasticnet,1.7698904995162075,1.469379646651009,0.979776950496821
M_LB,gbrt,57.97739699842158,33.04305503653368,1.0580131593962039
M_LB,gpr,31.358670812768434,25.671447022580686,107.59241514296511
M_LB,histgbr,41.15920674205363,17.163251021650282,0.8279209752284716
M_LB,knn,2.527691755203024,2.200684180699563,0.9211321101822288
M_LB,lasso,1.77016546047104,1.4703433382103417,0.9800433123620188
M_LB,lgbm,150.69948270548008,62.081026487884266,1.9264485021688016
M_LB,rf,7.729535578196177,5.941570310423536,0.4486655653874443
M_LB,ridge,1.769001919176704,1.4644364822819202,0.9782722151989833
M_LB,svr,28.51491238833723,52.71146404482893,58.22795024257625
M_LB,xgb,220.1158283466829,94.48999248760944,2.6270278146477017
