feature,importance,std
t,0.8730382935278233,0.13236095756844057
D,0.30782877142414283,0.03958649887267538
Fy,0.22893004498359248,0.05175309523985364
r,0.025890260651926983,0.004046742707538741
Bf,0.0037644985459718504,0.0005092148347438175
n,0.0015220144008777803,0.0003421354046040148
N,0.0002541531823766319,5.169039318921669e-05
Lsl,0.00010367454258900511,1.6152496952312926e-05
Wsl,8.238487578778874e-05,1.8751868446174908e-05
Bl,0.0,0.0
Ssl,0.0,0.0
Bsl,0.0,0.0
